"名称","名称かな","所在地","TEL","FAX","備考","URL","利用可能時間","休館日_1","写真","参考URL2","爆心地からの距離","所有者等","構造","郵便番号","TEL(夜間・休日）","私立等・公立の別","開設者種別","科目","対応可能言語","登録区分","開館時間","休館日_2","設置学部","障害種別","類型","設置者","文化財分類","種類","文化財指定日","区名","介護保険事業所番号","申請者-法人名","状態区分","NO","行政区","水利種別","公私区分","施設ID","登録番号","担当区内通番号","経度","緯度","分類"
"大村クリニック","","広島市佐伯区新宮苑３－３２","082-922-0010","","","","","","","","","","","731-5126","","","","","","","","","","","","","","","","","","","","","","","","A048000837","","","132.360276000273","34.3705949995773","診療所"
"さくらクリニック","","広島市東区戸坂千足２－１０－１０","082-220-2955","","","","","","","","","","","732-0009","","","","","","","","","","","","","","","","","","","","","","","","A048000838","","","132.486838000032","34.4368319999175","診療所"
"医療法人　西村小児科","","広島市安佐南区伴東五丁目１９番２３号","082-849-6030","","","","","","","","","","","731-3164","","","","","","","","","","","","","","","","","","","","","","","","A048000839","","","132.418765000046","34.4677209998252","診療所"
"医療法人　広島みなとクリニック","","広島市南区宇品西５－１２－４６","082-881-2525","","","","","","","","","","","734-0014","","","","","","","","","","","","","","","","","","","","","","","","A048000840","","","132.458457999802","34.3612079996537","診療所"
"医療法人　ＳｋｙＣｌｉｎｉｃ","","広島市南区大須賀町２０－１３　公園通り大須賀ビル","082-261-1171","","","","","","","","","","","732-0821","","","","","","","","","","","","","","","","","","","","","","","","A048000841","","","132.468357999894","34.4023899998011","診療所"
"広島市医師会千田町夜間急病センター","","広島市中区千田町三丁目８番６号","082-504-9990","","","","","","","","","","","730-0052","","","","","","","","","","","","","","","","","","","","","","","","A048000842","","","132.457337000162","34.3766809999731","診療所"
"医療法人ＳＯＲＲ　しげのぶ整形外科リウマチ・リハビリクリニック","","広島市南区段原南１－３－５３　広島イーストビル２階","082-568-1010","","","","","","","","","","","732-0814","","","","","","","","","","","","","","","","","","","","","","","","A048000843","","","132.476046999945","34.3856969998289","診療所"
"藤井心療内科クリニック","","広島市中区鉄砲町１０－１８　八丁堀栗村ビル４階","082-511-8687","","","","","","","","","","","730-0017","","","","","","","","","","","","","","","","","","","","","","","","A048000844","","","132.463845000164","34.3941769997608","診療所"
"なかた内科循環器クリニック","","広島市南区旭一丁目５番３１号","082-298-7799","","","","","","","","","","","734-0036","","","","","","","","","","","","","","","","","","","","","","","","A048000845","","","132.477810000113","34.3747739997677","診療所"
"よしなが神経内科クリニック","","広島市中区紙屋町２－２－２５　大野ビル３階","082-543-5300","","","","","","","","","","","730-0031","","","","","","","","","","","","","","","","","","","","","","","","A048000846","","","132.456151000188","34.3942319998841","診療所"
"舟入山本内科クリニック","","広島市中区舟入本町　１３－１２","082-503-7575","","","","","","","","","","","730-0843","","","","","","","","","","","","","","","","","","","","","","","","A048000847","","","132.441401000044","34.3850999999886","診療所"
"かでな泌尿器科クリニック","","広島市南区段原日出一丁目１５番１３号　段原スクエア４Ｆ","082-282-8100","","","","","","","","","","","732-0818","","","","","","","","","","","","","","","","","","","","","","","","A048000848","","","132.480676999942","34.3865109998718","診療所"
"うえき泌尿器科クリニック","","広島市安佐北区可部４丁目６番２号　ＹＮビル１Ｆ","082-810-0300","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000849","","","132.508196999836","34.5190809998123","診療所"
"よりしま内科外科医院","","広島市安佐南区祇園六丁目２１番１６号","082-874-0020","","","","","","","","","","","731-0138","","","","","","","","","","","","","","","","","","","","","","","","A048000850","","","132.465345000024","34.4450749998798","診療所"
"医療法人社団　石見会　いわさきクリニック","","広島市東区東山町１番９号","082-262-5271","","","","","","","","","","","732-0043","","","","","","","","","","","","","","","","","","","","","","","","A048000851","","","132.49128999991","34.3990599998686","診療所"
"須山麻酔科クリニック","","広島市西区高須台三丁目２３番１５号","","","","","","","","","","","","733-0876","","","","","","","","","","","","","","","","","","","","","","","","A048000852","","","132.415182000042","34.3988699999133","診療所"
"すみよし内科クリニック","","広島市東区牛田新町三丁目１４番２３号","082-512-1181","","","","","","","","","","","732-0068","","","","","","","","","","","","","","","","","","","","","","","","A048000853","","","132.470093000071","34.4267009997324","診療所"
"こころの健康クリニック可部","","広島市安佐北区可部四丁目６番２号","082-819-3553","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000854","","","132.508227999833","34.5191319998121","診療所"
"特別養護老人ホーム春日野園　医務室","","広島市安佐南区山本新町二丁目１８番９－１４号","082-832-4165","","","","","","","","","","","731-0139","","","","","","","","","","","","","","","","","","","","","","","","A048000855","","","132.43447999982","34.4405079998006","診療所"
"医療法人　広島リウマチ・内科クリニック","","広島市中区鉄砲町１０番１３号　八丁堀　伊藤久芳堂ビル　３Ｆ","082-221-6610","","","","","","","","","","","730-0017","","","","","","","","","","","","","","","","","","","","","","","","A048000856","","","132.463929000156","34.3940099997638","診療所"
"いしがめ小児科","","広島市東区温品七丁目１０－１１－２０","082-573-1178","","","","","","","","","","","732-0033","","","","","","","","","","","","","","","","","","","","","","","","A048000857","","","132.509689999974","34.4146979997749","診療所"
"瞳眼科","","広島市中区本通　２番１０号","082-240-6688","","","","","","","","","","","730-0035","","","","","","","","","","","","","","","","","","","","","","","","A048000858","","","132.4609010001","34.3928159998544","診療所"
"医療法人ＨＣＨ　さとう脳神経外科クリニック","","広島市南区翠２丁目５番６号","082-254-3211","","","","","","","","","","","734-0005","","","","","","","","","","","","","","","","","","","","","","","","A048000859","","","132.470348000006","34.3734739998212","診療所"
"医療法人たひとく会なかの皮フ科","","広島市中区千田町１丁目３番３号　藤和鷹の橋コープ２階","082-243-8181","","","","","","","","","","","730-0052","","","","","","","","","","","","","","","","","","","","","","","","A048000860","","","132.454061000001","34.3828830000167","診療所"
"つじ心療内科","","広島市安佐南区東原１丁目１－２　シーブリーズ７番館２階","082-850-3055","","","","","","","","","","","731-0112","","","","","","","","","","","","","","","","","","","","","","","","A048000861","","","132.48000800003","34.4438109998588","診療所"
"いるかクリニック","","広島市安佐南区相田一丁目３番１８号","082-962-1031","","","","","","","","","","","731-0141","","","","","","","","","","","","","","","","","","","","","","","","A048000862","","","132.457016000046","34.4701209997093","診療所"
"ますだ小児科","","広島市東区東蟹屋町１０番　２１号","082-568-2828","","","","","","","","","","","732-0055","","","","","","","","","","","","","","","","","","","","","","","","A048000863","","","132.483343999963","34.3952879997362","診療所"
"医療法人ながつき会　山本皮膚科医院","","広島市西区観音町１５－１","082-231-1177","","","","","","","","","","","733-0031","","","","","","","","","","","","","","","","","","","","","","","","A048000864","","","132.43876399989","34.3953709997637","診療所"
"すず美容形成外科医院","","広島市中区鉄砲町１０－１３　八丁堀伊藤久芳堂ビル６階","082-222-6671","","","","","","","","","","","730-0017","","","","","","","","","","","","","","","","","","","","","","","","A048000865","","","132.463960000155","34.3939679997648","診療所"
"医療法人社団　游心会　カルミア美肌クリニック","","広島市中区中町２－５　ロアール並木通り３Ｆ","082-545-4477","","","","","","","","","","","730-0037","","","","","","","","","","","","","","","","","","","","","","","","A048000866","","","132.460602999962","34.3898649999483","診療所"
"医療法人　江草玄士クリニック","","広島市中区八丁堀１２番４号　八丁堀わかばビル２・３階","082-511-2666","","","","","","","","","","","730-0013","","","","","","","","","","","","","","","","","","","","","","","","A048000867","","","132.463678000172","34.3953439997585","診療所"
"ふじたクリニック","","広島市西区草津南４丁目６－５－１","082-270-5515","","","","","","","","","","","733-0863","","","","","","","","","","","","","","","","","","","","","","","","A048000868","","","132.396167999932","34.3769789998229","診療所"
"医療法人馬場クリニック","","広島市安佐北区深川５丁目３９番２号","082-841-0002","","","","","","","","","","","739-1751","","","","","","","","","","","","","","","","","","","","","","","","A048000869","","","132.529336000132","34.480362999662","診療所"
"築山内科医院","","広島市東区戸坂山崎町８番９号","082-229-0737","","","","","","","","","","","732-0004","","","","","","","","","","","","","","","","","","","","","","","","A048000870","","","132.485536000031","34.4362559999472","診療所"
"医療法人社団みどり会城谷内科医院","","広島市安佐南区相田２丁目４－１９","082-878-8426","","","","","","","","","","","731-0141","","","","","","","","","","","","","","","","","","","","","","","","A048000871","","","132.451787000084","34.4730289996398","診療所"
"医療法人社団瞭美会　山村眼科","","広島市東区若草町２０番７－１号","082-262-1211","","","","","","","","","","","732-0053","","","","","","","","","","","","","","","","","","","","","","","","A048000872","","","132.478677000004","34.3966209996932","診療所"
"もみじアイクリニック","","広島市西区草津新町２丁目２６番１号　アルパーク東棟４階","082-501-1457","","","","","","","","","","","733-0834","","","","","","","","","","","","","","","","","","","","","","","","A048000873","","","132.394713000046","34.3736499998298","診療所"
"にほ耳鼻科・内科心臓血管クリニック","","広島市南区仁保新町２丁目５番３２号","082-890-8088","","","","","","","","","","","734-0024","","","","","","","","","","","","","","","","","","","","","","","","A048000874","","","132.493741000149","34.3760539997988","診療所"
"医療法人木村整形外科リハビリ・ペインクリニック","","広島市東区若草町１１－２　グランアークテラス３Ｆ","082-264-5566","","","","","","","","","","","732-0053","","","","","","","","","","","","","","","","","","","","","","","","A048000875","","","132.477954999941","34.3987049997111","診療所"
"芙蓉ビル眼科","","広島市南区松原町１０－２５　芙蓉ビル４階","082-263-9270","","","","","","","","","","","732-0822","","","","","","","","","","","","","","","","","","","","","","","","A048000876","","","132.472247000069","34.3975149996458","診療所"
"医療法人社団　水野皮ふ科","","広島市東区若草町１１番１－１０１号","082-263-6775","","","","","","","","","","","732-0053","","","","","","","","","","","","","","","","","","","","","","","","A048000878","","","132.479025999943","34.3982349997149","診療所"
"はたの皮膚科クリニック","","広島市南区宇品西３丁目１－４５－２　クリニックモール宇品","082-250-3337","","","","","","","","","","","734-0014","","","","","","","","","","","","","","","","","","","","","","","","A048000879","","","132.459976999848","34.3633569996882","診療所"
"医療法人　こころ・チャイルド・クリニック","","広島市安佐南区伴南１丁目５－１８－８　３０１","082-849-5519","","","","","","","","","","","731-3168","","","","","","","","","","","","","","","","","","","","","","","","A048000880","","","132.381155000037","34.4476419997642","診療所"
"広島ステーションクリニック","","広島市東区若草町１１番２号　グランアークテラス３Ｆ","082-568-1007","","","","","","","","","","","732-0053","","","","","","","","","","","","","","","","","","","","","","","","A048000882","","","132.478148999938","34.3987049997131","診療所"
"医療法人横田メンタルクリニック","","広島市東区若草町１１－２　グランアークテラス３Ｆ","082-568-8338","","","","","","","","","","","732-0053","","","","","","","","","","","","","","","","","","","","","","","","A048000883","","","132.478148999938","34.3987049997131","診療所"
"小田内科クリニック","","広島市安佐北区可部４丁目２３－１３","082-815-5511","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000884","","","132.508871999931","34.5163649998901","診療所"
"医療法人　小児科さとうクリニック","","広島市南区宇品西３丁目１－４５－３　クリニックモール宇品","082-250-2311","","","","","","","","","","","734-0014","","","","","","","","","","","","","","","","","","","","","","","","A048000885","","","132.460040999853","34.3634019996909","診療所"
"川崎産婦人科医院","","広島市南区旭３丁目１３－１６－１","082-251-0303","","","","","","","","","","","734-0036","","","","","","","","","","","","","","","","","","","","","","","","A048000886","","","132.475639999866","34.3677559998811","診療所"
"ながお脳神経外科クリニック","","広島市佐伯区五日市駅前１丁目５－１８グラシアビル３０１","082-943-5882","","","","","","","","","","","731-5125","","","","","","","","","","","","","","","","","","","","","","","","A048000887","","","132.367910000187","34.3678449996739","診療所"
"医療法人社団　田代耳鼻咽喉科医院","","広島市安佐南区安東二丁目１４番１９号","082-878-2486","","","","","","","","","","","731-0153","","","","","","","","","","","","","","","","","","","","","","","","A048000888","","","132.455573000004","34.4738119996573","診療所"
"医療法人社団　小畠クリニック","","広島市東区温品１丁目３番２号　フォレオ広島東","082-289-0364","","","","","","","","","","","732-0033","","","","","","","","","","","","","","","","","","","","","","","","A048000889","","","132.503840999928","34.4087589998884","診療所"
"広島生活習慣病・がん健診所","","広島市中区幟町１３番４号　広島マツダビル４Ｆ","082-224-6661","","","","","","","","","","","730-0016","","","","","","","","","","","","","","","","","","","","","","","","A048000890","","","132.466069000143","34.3936689997361","診療所"
"水入クリニック","","広島市東区牛田早稲田一丁目２３－８","082-962-0216","","","","","","","","","","","732-0062","","","","","","","","","","","","","","","","","","","","","","","","A048000891","","","132.477031999809","34.4097919999284","診療所"
"医療法人社団　明樟会　広島女性クリニック","","広島市中区三川町１－２０　ピンクリボン３９ビル４Ｆ","082-249-3900","","","","","","","","","","","730-0029","","","","","","","","","","","","","","","","","","","","","","","","A048000892","","","132.462789999992","34.390399999893","診療所"
"医療法人　宇品メンタルクリニック","","広島市南区宇品西３丁目１－４５－４　クリニックモール宇品","082-250-2230","","","","","","","","","","","734-0014","","","","","","","","","","","","","","","","","","","","","","","","A048000893","","","132.46015999985","34.3633369996914","診療所"
"まんたに心療内科クリニック","","広島市佐伯区五日市駅前１丁目５－１８　グラシアビル３０２","082-924-0020","","","","","","","","","","","731-5125","","","","","","","","","","","","","","","","","","","","","","","","A048000894","","","132.367854000188","34.3678169996744","診療所"
"おさだメンタルクリニック","","広島市中区袋町１番　４号　Ｎａｍｉｋｉ　Ｋ２ビル　２階","082-247-7300","","","","","","","","","","","730-0036","","","","","","","","","","","","","","","","","","","","","","","","A048000895","","","132.46120700005","34.3917329998808","診療所"
"安佐医師会可部夜間急病センター","","広島市安佐北区可部南２－１－３８","082-814-9910","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000896","","","132.515438000053","34.5065489999729","診療所"
"広島八景園　医務室","","広島市南区仁保１丁目１－２０","","","","","","","","","","","","734-0026","","","","","","","","","","","","","","","","","","","","","","","","A048000897","","","132.49433900018","34.3736559998545","診療所"
"医療法人社団スマイル　広島ベイクリニック","","広島市安芸区矢野新町２丁目２－１９","082-885-8280","","","","","","","","","","","736-0084","","","","","","","","","","","","","","","","","","","","","","","","A048000898","","","132.520454000006","34.3529319997834","診療所"
"可部市頭眼科","","広島市安佐北区亀山９丁目１２－４０","082-815-7677","","","","","","","","","","","731-0231","","","","","","","","","","","","","","","","","","","","","","","","A048000899","","","132.478031999842","34.5356899998492","診療所"
"ましの皮ふ科クリニック","","広島市安佐南区東原１丁目１－２－４Ｆ","082-832-2834","","","","","","","","","","","731-0112","","","","","","","","","","","","","","","","","","","","","","","","A048000900","","","132.48000800003","34.4438109998588","診療所"
"さくらＭＲＩクリニック","","広島市中区幟町１３番４号　広島マツダビル地下１階","082-224-6610","","","","","","","","","","","730-0016","","","","","","","","","","","","","","","","","","","","","","","","A048000901","","","132.466069000142","34.3936629997361","診療所"
"特別養護老人ホームやすらぎの里　広域公園　医務室","","広島市安佐南区大塚西４丁目２－２０","082-848-3600","","","","","","","","","","","731-3167","","","","","","","","","","","","","","","","","","","","","","","","A048000902","","","132.398488000031","34.4359769998924","診療所"
"医療法人　サカもみの木会　緑井整形外科","","広島市安佐南区緑井６丁目３５番１号","082-555-8880","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A048000903","","","132.481645999944","34.4721409998568","診療所"
"池庄司整形外科医院","","広島市南区段原日出２丁目１１－４","082-285-8883","","","","","","","","","","","732-0818","","","","","","","","","","","","","","","","","","","","","","","","A048000904","","","132.484010999978","34.3860669998929","診療所"
"西原内科診療所","","広島市西区三滝本町二丁目１番１－２７号","082-230-5289","","","","","","","","","","","733-0802","","","","","","","","","","","","","","","","","","","","","","","","A048000905","","","132.449956000187","34.4202289999691","診療所"
"あおばこどもファミリークリニック","","広島市南区宇品西５丁目３番１３号","082-250-1255","","","","","","","","","","","734-0014","","","","","","","","","","","","","","","","","","","","","","","","A048000907","","","132.457929999862","34.3634579997155","診療所"
"重川クリニック．","","広島市中区十日市町一丁目２－１７","082-232-0909","","","","","","","","","","","730-0805","","","","","","","","","","","","","","","","","","","","","","","","A048000908","","","132.447655000208","34.397895999857","診療所"
"医療法人　千田内科クリニック","","広島市中区千田町１－９－１　Ａ－スカイコート　２階","082-545-8080","","","","","","","","","","","730-0052","","","","","","","","","","","","","","","","","","","","","","","","A048000909","","","132.454930000028","34.381817000011","診療所"
"安芸巡回検診所","","広島市安佐南区川内５丁目２０－１９－８－２０６　コーポアルファ","082-962-0206","","","","","","","","","","","731-0120","","","","","","","","","","","","","","","","","","","","","","","","A048000910","","","132.486589999934","34.4676969998793","診療所"
"男たちの美容外科　広島院","","広島市中区新天地５番６号　アーバス並木４階","082-504-3660","","","","","","","","","","","734-0034","","","","","","","","","","","","","","","","","","","","","","","","A048000911","","","132.461512000032","34.3913299998879","診療所"
"かわむら内科クリニック","","広島市西区庚午中２丁目１９番９号","082-507-6007","","","","","","","","","","","733-0822","","","","","","","","","","","","","","","","","","","","","","","","A048000912","","","132.411932999926","34.3861209997842","診療所"
"たにもと眼科","","広島市東区戸坂出江１－１－１","082-220-1177","","","","","","","","","","","732-0016","","","","","","","","","","","","","","","","","","","","","","","","A048000913","","","132.48867500002","34.4323959999062","診療所"
"のぞみ整形外科ヒロシマ","","広島市佐伯区利松三丁目６－３０","082-929-0009","","","","","","","","","","","731-5106","","","","","","","","","","","","","","","","","","","","","","","","A048000915","","","132.365631000066","34.4007299998972","診療所"
"緑井脳神経外科","","広島市安佐南区緑井五丁目２９－１８－２０１","082-831-3230","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A048000916","","","132.476925000081","34.4673299997985","診療所"
"緑井メンタルクリニック","","広島市安佐南区緑井五丁目２９番１８号　緑井ゆめビル４０１号室","082-831-5294","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A048000917","","","132.476563000086","34.4675299997917","診療所"
"医療法人　みぞべ眼科","","広島市安佐南区緑井五丁目２９－１８－２０２","082-831-0030","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A048000918","","","132.476896000082","34.4673639997975","診療所"
"醫療法人齊和會　廣島クリニック","","広島市中区宝町２－１　フジグラン広島４Ｆ","082-543-6688","","","","","","","","","","","734-0044","","","","","","","","","","","","","","","","","","","","","","","","A048000919","","","132.464374999858","34.3860549999663","診療所"
"森川麻酔クリニック","","広島市南区翠五丁目１７－２　アーバンビュー翠８０６","082-254-5214","","","","","","","","","","","734-0005","","","","","","","","","","","","","","","","","","","","","","","","A048000920","","","132.466302999922","34.3682869998861","診療所"
"サンヒルズ広島診療所","","広島市東区中山上一丁目２４－１","082-289-8688","","","","","","","","","","","732-0027","","","","","","","","","","","","","","","","","","","","","","","","A048000921","","","132.49480400008","34.4173649998442","診療所"
"特別養護老人ホーム新都西風苑医務室","","広島市安佐南区大塚東三丁目３番９号","082-811-8185","","","","","","","","","","","731-3166","","","","","","","","","","","","","","","","","","","","","","","","A048000922","","","132.413559999971","34.4352059999489","診療所"
"さくらい内科アレルギー科クリニック","","広島市安佐南区緑井五丁目２９－１８　緑井ゆめビル３０１","082-831-1181","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A048000923","","","132.47694600008","34.4673539997988","診療所"
"ながたクリニック","","広島市東区矢賀二丁目８－１８","082-890-1119","","","","","","","","","","","732-0042","","","","","","","","","","","","","","","","","","","","","","","","A048000924","","","132.49706399998","34.3992329999556","診療所"
"霞クリニック","","広島市南区東雲本町一丁目２－２７","082-282-0033","","","","","","","","","","","734-0023","","","","","","","","","","","","","","","","","","","","","","","","A048000925","","","132.482622000044","34.3840119998779","診療所"
"医療法人社団　恵正会　にのみや往診クリニック","","広島市安佐北区可部五丁目９番３号","082-516-5515","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000926","","","132.508424999806","34.5213089997759","診療所"
"特別養護老人ホームでじま・くにくさ医務室","","広島市南区出島一丁目１８番１７号","082-256-9293","","","","","","","","","","","734-0013","","","","","","","","","","","","","","","","","","","","","","","","A048000927","","","132.454680999816","34.3612639996944","診療所"
"金林耳鼻咽喉科","","広島市中区大手町四丁目１－１　大手町平和ビル","082-241-8930","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A048000928","","","132.453975999931","34.3860300000412","診療所"
"三原皮ふ科アレルギー科","","広島市東区中山東二丁目２－１－２","082-289-5050","","","","","","","","","","","732-0023","","","","","","","","","","","","","","","","","","","","","","","","A048000929","","","132.503923999926","34.41031499986","診療所"
"こころ皮ふ科クリニック","","広島市安佐南区伴南一丁目５－１８－８－３０３","082-849-5477","","","","","","","","","","","731-3168","","","","","","","","","","","","","","","","","","","","","","","","A048000930","","","132.380771000028","34.4481759997691","診療所"
"ウィミンズ・ヴィセオ　クリニック広島","","広島市東区若草町１１－２グランアークテラス３階","082-568-5177","","","","","","","","","","","732-0053","","","","","","","","","","","","","","","","","","","","","","","","A048000931","","","132.478259999944","34.3985099997116","診療所"
"医療法人社団　和楽会　伊藤内科医院","","広島市安佐南区伴中央四丁目７－１０","082-848-6111","","","","","","","","","","","731-3165","","","","","","","","","","","","","","","","","","","","","","","","A048000932","","","132.404748999959","34.4574359997899","診療所"
"かがわファミリークリニック","","広島市安佐南区西原二丁目３２－１９","082-875-0012","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A048000933","","","132.46345500001","34.4307009997938","診療所"
"祇園すやま眼科クリニック","","広島市安佐南区山本三丁目１番１０号","082-836-3505","","","","","","","","","","","731-0137","","","","","","","","","","","","","","","","","","","","","","","","A048000934","","","132.456003999978","34.4394699998826","診療所"
"医療法人　くすの木クリニック","","広島市西区楠木町四丁目１６－１４","082-238-7764","","","","","","","","","","","733-0002","","","","","","","","","","","","","","","","","","","","","","","","A048000935","","","132.457754999946","34.4145390000097","診療所"
"ながしまクリニック","","広島市佐伯区吉見園２－２２","082-922-2151","","","","","","","","","","","731-5132","","","","","","","","","","","","","","","","","","","","","","","","A048000936","","","132.369788000175","34.3662649996854","診療所"
"ひろしま駅前　乳腺クリニック","","広島市南区松原町９番１号　福屋広島駅前店８階","082-568-3003","","","","","","","","","","","732-0822","","","","","","","","","","","","","","","","","","","","","","","","A048000937","","","132.472289000004","34.3989269996722","診療所"
"医療法人　クリニックいけだ","","広島市安佐南区西原一丁目８番１３号","082-850-3735","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A048000938","","","132.463894999914","34.4364179999251","診療所"
"医療法人やまぐちホームケアクリニック","","広島市安佐北区口田一丁目２１－２５","082-843-3030","","","","","","","","","","","739-1734","","","","","","","","","","","","","","","","","","","","","","","","A048000939","","","132.496006000106","34.4645589997907","診療所"
"にこにこキッズクリニック","","広島市安佐南区緑井五丁目２９－１８　緑井ゆめビル１０３号","082-831-0415","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A048000940","","","132.47694600008","34.4673539997988","診療所"
"ののやま眼科","","広島市東区中山西二丁目４番６号","082-562-2668","","","","","","","","","","","732-0025","","","","","","","","","","","","","","","","","","","","","","","","A048000941","","","132.498063000035","34.4093010000077","診療所"
"みなみまちクリニック","","広島市南区皆実町五丁目１８番２号","082-250-0155","","","","","","","","","","","734-0007","","","","","","","","","","","","","","","","","","","","","","","","A048000942","","","132.467598000047","34.3734339998489","診療所"
"クリニック福本リハビリ整形外科","","広島市安芸区矢野東二丁目３１－１１","082-888-1575","","","","","","","","","","","736-0083","","","","","","","","","","","","","","","","","","","","","","","","A048000943","","","132.535979999949","34.3553769997901","診療所"
"はしもとクリニック","","広島市安佐北区深川５－２３－１","082-842-0016","","","","","","","","","","","739-1751","","","","","","","","","","","","","","","","","","","","","","","","A048000944","","","132.532980000156","34.4812089996398","診療所"
"医療法人社団えとむ会　神人クリニック","","広島市東区若草町１８－４６","082-261-0600","","","","","","","","","","","732-0053","","","","","","","","","","","","","","","","","","","","","","","","A048000945","","","132.480884999959","34.3968879997193","診療所"
"医療法人社団　片山内科小児科医院","","広島市安佐南区上安六丁目２６－１","082-878-5589","","","","","","","","","","","731-0154","","","","","","","","","","","","","","","","","","","","","","","","A048000946","","","132.445375999976","34.4822619997752","診療所"
"中野東クリニック","","広島市安芸区中野五丁目１７－１５","082-893-3700","","","","","","","","","","","739-0321","","","","","","","","","","","","","","","","","","","","","","","","A048000947","","","132.580173000108","34.4033309998487","診療所"
"細川・内藤医院","","広島市中区江波東一丁目１３－２８","082-291-1111","","","","","","","","","","","730-0832","","","","","","","","","","","","","","","","","","","","","","","","A048000948","","","132.43800099999","34.3728460000752","診療所"
"袋町クリニック","","広島市中区袋町４－１４　ヤマガタローズビル２Ｆ","825415191","","","","","","","","","","","730-0036","","","","","","","","","","","","","","","","","","","","","","","","A048000949","","","132.457412000088","34.3921189999188","診療所"
"こうレディスクリニック","","広島市中区富士見町１２－１７","082-542-0770","","","","","","","","","","","730-0043","","","","","","","","","","","","","","","","","","","","","","","","A048000951","","","132.46076699982","34.3863750000393","診療所"
"医療法人社団たけなお会　たにぐち小児クリニック","","広島市東区中山東二丁目２－９","082-508-4115","","","","","","","","","","","732-0023","","","","","","","","","","","","","","","","","","","","","","","","A048000952","","","132.504746999911","34.4104559998337","診療所"
"医療法人社団つばさ会　横山内科クリニック","","広島市中区西十日市町１－５","082-295-8363","","","","","","","","","","","730-0805","","","","","","","","","","","","","","","","","","","","","","","","A048000953","","","132.447067000156","34.3985379998479","診療所"
"リバーサイド内科クリニック","","広島市東区牛田南一丁目７－８","","","","","","","","","","","","732-0064","","","","","","","","","","","","","","","","","","","","","","","","A048000954","","","132.470756999822","34.4066029998961","診療所"
"医療法人あかね会　中島土谷クリニック","","広島市中区中島町６－１","082-542-7272","","","","","","","","","","","730-0811","","","","","","","","","","","","","","","","","","","","","","","","A048000955","","","132.451342000078","34.3897079999973","診療所"
"医療法人　ひよこ小児科内科","","広島市東区戸坂千足一丁目２２－６－１１","082-516-0015","","","","","","","","","","","732-0009","","","","","","","","","","","","","","","","","","","","","","","","A048000956","","","132.484662000063","34.4371329999209","診療所"
"おやまクリニック　リウマチ科・内科","","広島市中区白島北町１０－１０","082-511-3535","","","","","","","","","","","730-0001","","","","","","","","","","","","","","","","","","","","","","","","A048000957","","","132.463585999823","34.4091310000378","診療所"
"ふじたこどもクリニック","","広島市安佐北区可部４丁目２３－１３","082-815-5515","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000958","","","132.508877999932","34.5163559998899","診療所"
"大手町診療所","","広島市中区大手町一丁目５－１７","","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A048000959","","","132.454892000206","34.394415999897","診療所"
"平松整形外科","","広島市中区幟町１３－４　広島マツダビルＢ１Ｆ","082-211-3377","","","","","","","","","","","730-0016","","","","","","","","","","","","","","","","","","","","","","","","A048000960","","","132.465802000149","34.393822999736","診療所"
"湘南美容クリニック広島院","","広島市中区八丁堀１６－３　広島第一ビル６Ｆ","0120-519-500","","","","","","","","","","","730-0013","","","","","","","","","","","","","","","","","","","","","","","","A048000961","","","132.46328900015","34.3960509997774","診療所"
"上安はるのひ心療内科","","広島市安佐南区上安二丁目２９－３　野地ビル２Ｆ","082-962-6000","","","","","","","","","","","731-0154","","","","","","","","","","","","","","","","","","","","","","","","A048000963","","","132.443968000042","34.4758689996447","診療所"
"医療法人あき皮ふ科","","広島市安佐南区緑井五丁目２９－１８　緑井ゆめビル４０３号","082-831-2355","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A048000964","","","132.47694600008","34.4673539997988","診療所"
"西原セントラルクリニック","","広島市安佐南区西原八丁目３３－３","082-871-1177","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A048000965","","","132.474198999856","34.4431969999321","診療所"
"草津眼科クリニック","","広島市西区草津東二丁目１６－８","082-208-1700","","","","","","","","","","","733-0861","","","","","","","","","","","","","","","","","","","","","","","","A048000966","","","132.404909000056","34.3800029998021","診療所"
